,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,sentiment
0,1497723112426668032,1497723112426668032,2022-02-26 23:59:51 GMT Standard Time,2022-02-26,23:59:51,0,1356427656812630016,skullcrypto1,Ξ Lord Skull Crypto Ξ,,en,[],[],[],2,2,6,"['btc', 'eth', 'bitcoin', 'etherum']",[],https://twitter.com/skullcrypto1/status/1497723112426668032,FALSE,,0,,,,,,,,[],,,,,What price did you buy your first #btc and #eth ??  mine was $240 for 1 #Bitcoin and $14 for 1 #Etherum   comment your numbers plzzz,0
1,1497723081250545666,1497723081250545666,2022-02-26 23:59:43 GMT Standard Time,2022-02-26,23:59:43,0,1495015555283120130,abnormal_crypto,Crypto Volume,,en,[],[],['https://pbs.twimg.com/media/FMj7NJWWYAM4iRy.png'],0,0,0,"['ghstusdt', 'crypto', 'whale', 'btc', 'eth', 'ghst']",['ghst'],https://twitter.com/abnormal_crypto/status/1497723081250545666,FALSE,,1,https://pbs.twimg.com/media/FMj7NJWWYAM4iRy.png,,,,,,,[],,,,,"#GHSTUSDT Bull Alert!  50X Volume Price:      1.951 5-min %: 0.36% Volume:  $51,323   #crypto #whale #btc #eth #GHST $GHST  https://t.co/c8MPNZ7PcQ",0
2,1497723013009137673,1497723013009137673,2022-02-26 23:59:27 GMT Standard Time,2022-02-26,23:59:27,0,1348334651480428544,0x_solflare,Solflare,,en,[],[],[],0,0,0,['eth'],[],https://twitter.com/0x_Solflare/status/1497723013009137673,FALSE,,0,,,,,,,,[],,,,,gas is sooooo cheap rn #ETH,1
3,1497722971229757444,1497722971229757444,2022-02-26 23:59:17 GMT Standard Time,2022-02-26,23:59:17,0,1495015555283120130,abnormal_crypto,Crypto Volume,,it,[],[],['https://pbs.twimg.com/media/FMj7GwaXsAA2Uqt.png'],0,0,1,"['tusdt', 'crypto', 'whale', 'btc', 'eth', 't']",['t'],https://twitter.com/abnormal_crypto/status/1497722971229757444,FALSE,,1,https://pbs.twimg.com/media/FMj7GwaXsAA2Uqt.png,,,,,,,[],,,,,"#TUSDT Bull Alert!  5X Volume Price:      0.1395 5-min %: 2.7% Volume:  $222,670   #crypto #whale #btc #eth #T $T  https://t.co/I8LNvPmT78",0
4,1497722966179815429,1497722966179815429,2022-02-26 23:59:16 GMT Standard Time,2022-02-26,23:59:16,0,1451578973641641985,thedoodlle2,TheDoodles2🇺🇦,,en,[],['https://opensea.io/collection/thedoodles2'],['https://pbs.twimg.com/media/FMj7GYvXEAcVAUb.jpg'],1,0,9,"['nft', 'collector', 'eth', 'nfts', 'nftcommunity', 'nftdrop', 'nftcollection', 'nftart', 'nftcollectors']",[],https://twitter.com/TheDoodlle2/status/1497722966179815429,FALSE,,1,https://pbs.twimg.com/media/FMj7GYvXEAcVAUb.jpg,,,,,,,[],,,,,New #NFT New #collector ✅ Only 0.005 #ETH 🔥 Link:  https://t.co/sFWb2Gq3Bd Only 8 on floor 10/2 lets go Yall join us every one welcome  #NFTs #NFTCommunity #NFTdrop #NFTCollection #nftart #nftcollectors  https://t.co/tgDRu4AtS1,1
5,1497722938082185218,1497722938082185218,2022-02-26 23:59:09 GMT Standard Time,2022-02-26,23:59:09,0,1408890653887586306,crypto_whispers,Crypto Whispers,,en,[],[],[],1,0,1,"['crypto', 'btc', 'eth', 'bnb', 'xrp', 'luna', 'hodl']","['btc', 'eth', 'bnb', 'xrp', 'luna']",https://twitter.com/crypto_whispers/status/1497722938082185218,FALSE,,0,,,,,,,,[],,,,,Top 5 #crypto prices with 24h change:  #BTC #ETH #BNB #XRP #LUNA   🔴 $BTC $39081.95 (-0.29%) 🟢 $ETH $2776.59 (0.39%) 🔴 $BNB $373.4 (-0.37%) 🔴 $XRP $0.7504 (-2.41%) 🟢 $LUNA $78.09 (6.83%)  Do you #hodl any of these coins?,0
6,1497722920566722567,1497722920566722567,2022-02-26 23:59:05 GMT Standard Time,2022-02-26,23:59:05,0,954821035525922816,dashforcashusmc,🌐 Eric 🧊❄️,,en,"[{'screen_name': 'optimusdefi', 'name': 'optimus', 'id': '1432296862967496706'}]",[],['https://pbs.twimg.com/tweet_video_thumb/FMj7DlhWUAkDVfA.jpg'],2,0,8,"['eth', 'btc', 'ltc']","['fin', 'icx']",https://twitter.com/dashforcashusmc/status/1497722920566722567,FALSE,,1,https://pbs.twimg.com/tweet_video_thumb/FMj7DlhWUAkDVfA.jpg,,,,,,,[],,,,,$FIN is blasting off over at $ICX  @OptimusDeFi #ETH #BTC #LTC  https://t.co/rPIj4vbaIe,0
7,1497722883874959364,1497722883874959364,2022-02-26 23:58:56 GMT Standard Time,2022-02-26,23:58:56,0,1462474981984587779,veeknowscryptos,VeeKnows.Crypto,,en,[],[],[],2,0,1,"['cryptos', 'btc', 'eth', 'ripple', 'altcoin']","['bch', 'luna']",https://twitter.com/VeeKnowsCryptos/status/1497722883874959364,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1497721740612751362/pu/img/jprDPflS3oYKsNVu.jpg,,,,,,,[],,,,,"tokenviz: 🌕 Biggest #Cryptos 1-Day Volume  #BTC: $39,145.18 (−0.71%) #ETH: $2,795.36 (+0.14%) $BCH: $314.5 (+1.42%) $LUNA: $78.92 (+9.35%) #Ripple: $0.7506 (−0.38%)  👉 Follow to bring #altcoin dashboard right to your feed.  https://t.co/elmzzuwnpC",0
8,1497722802564214785,1497722802564214785,2022-02-26 23:58:37 GMT Standard Time,2022-02-26,23:58:37,0,1346025030908481536,ethgaspricebot,Ethereum Gas Custom Price Notifier Bot,,en,[],[],[],0,0,0,"['ethereum', 'gasprice', 'ethgasprice', 'eth']",[],https://twitter.com/ETHGasPriceBot/status/1497722802564214785,FALSE,,0,,,,,,,,[],,,,,Slow 36 | Normal 43 | Fast 52 | Instant 65 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,0
9,1497722756603031555,1497686374652289026,2022-02-26 23:58:26 GMT Standard Time,2022-02-26,23:58:26,0,890345296500322305,coachbergen,CoachBergen,,en,"[{'screen_name': 'frogefinance1', 'name': 'froge finance', 'id': '1376810812522762240'}]",[],[],2,0,2,"['frogex', 'eth', 'reflection', 'hodling', 'savetheplanet', 'ecodefi', 'hopon']",[],https://twitter.com/CoachBergen/status/1497722756603031555,FALSE,,0,,,,,,,,"[{'screen_name': 'FinanceFroge', 'name': 'FrogeX', 'id': '1376808535598710784'}, {'screen_name': '1goonrich', 'name': 'Crypto Messiah ☁︎🌞', 'id': '766578266'}]",,,,,@FinanceFroge @1goonrich The growth potential of #frogex is absolutely beautiful! Can’t wait to see my #eth #REFLECTION from #Hodling ! FrogeX just launched 2/22/22 &amp; is going to #SaveThePlanet being #ecodefi ! Check out @frogefinance1 &amp; #HopOn !,1
